يجري طفل
عند الغضب
الغضب عندما
عندما الغضب
الغضب انه
انه يتوقف
يتوقف عن
عن مشاعرك
مشاعرك وتل
وتل فقط
فقط رعايه
ملاحظتي اليوم
مايرزبريغز اعجوبه
اعجوبه خارقه
خارقه احرف
احرف 😃😎
يمكن ان
ان يكون
يكون الانطواء
الانطواء محادثه
محادثه مع
مع اي
اي شيء
شيء عميق
عميق يمكننا
يمكننا ان
ان نتعلم
نتعلم من
من كل
كل مايرزبريغز
مايرزبريغز اكتب
اكتب 😆🌟
انت تعرف
تعرف انك
انك عندما
عندما يقول
يقول شخص
شخص ما
ما كنت
كنت تعتقد
تعتقد ان
ان من
من الصعب
الصعب جدا
جدا في
في كثير
كثير من
من الاحيان
خارقه التي
التي انت
انت وفقا
وفقا الخاص
الخاص بك؟
بك؟ 😄💫
الطرق التي
التي يستجيب
يستجيب كل
كل نوع
نوع مايرزبريغز
مايرزبريغز للسلطه
للسلطه 😏👮
يمكن ان
ان يكون
يكون الانطواء
الانطواء محادثه
محادثه مع
مع اي
اي شيء
هنا هو
هو صوره
صوره التي
التي تصور
تصور الاعمال
الاعمال الداخليه
الداخليه للعقل
للعقل متوسط
لم نحصل
نحصل علي
علي وحيدا
وحيدا للشعب
للشعب محادثه
محادثه جيده
جيده فقط
وهذا السبب
السبب في
في وفي
وفي وكثيرا
وكثيرا ما
ما يبدو
يبدو لا
لا مبالي
مبالي وغالبا
وغالبا ما
ما لا
لا يحصلون
يحصلون علي
علي الكثير
الكثير القيام
القيام به
الاوضاع غير
غير مريحه
مريحه اكثر
اكثر لكل
لكل مايرزبريغز
مايرزبريغز اكتب
اكتب 😁😓
السبب في
في كل
كل فئه
فئه فرعيه
فرعيه مايرزبريغز
مايرزبريغز 😊👍
😊👍 فعلا
فعلا كاذبه
اينتويتيفيس الانطواء
الانطواء يكون
يكون مثل
اينتروفيرتس بعد
بعد التنشئه
التنشئه الاجتماعيه
الاجتماعيه كثيرا
ستقع فقط
فقط اذا
اذا كان
كان قال
قال انه
انه يعتقد
يعتقد الحقيقه
الحقيقه سوف
سوف تؤثر
تؤثر له
له تاثيرا
تاثيرا سلبيا
سلبيا علي
علي او
او اذا
اذا كان
كان لا
لا يحب
يحب لك
كيفيه التواصل
التواصل مع
مع شخص
شخص ما
ما لديه
لديه افضليات
انت تعرف
تعرف انك
انك عندما
عندما كنت
كنت يضحكون
يضحكون النكات
النكات الخاصه
الخاصه بك
بك اكثر
فقط وسوف
وسوف تفعل
تفعل شيئا
شيئا دون
دون ان
ان يدركوا
يدركوا ما
ما ق
ق حتي
حتي يفعل
انا الوحيد
الوحيد الذي
الذي يقوم
يقوم بحذف
بحذف الرسائل
الرسائل التي
التي كان
كان علي
علي وشك
وشك ارسال
ارسال الي
الي شخص
شخص ما
ما لانه
لانه يبدو
يبدو العاطفي
العاطفي جدا؟
اينتروفيرتس ما
ما تريد
تريد معظم
معظم من
من الاخرين
شيء عميق
عميق يمكننا
يمكننا ان
ان نتعلم
نتعلم من
من كل
كل مايرزبريغز
مايرزبريغز اكتب
اكتب 😆🌟
في المدرسه
اينتويتيفيس الانطواء
الانطواء يكون
يكون مثل
اﻻنطوائيه بديهيه
هو الطاقه
الطاقه المتجه
المتجه حرفيا
حرفيا في
في زجاجه
زجاجه من
من المشروبات
المشروبات الكحوليه
اينتروفيرتس ما
ما تريد
تريد معظم
معظم من
من الاخرين
شخص ما
ما يري
يري ويسمع
ويسمع انا
انا زقزقه
زقزقه لهجه
لهجه الخاص
الخاص بك؟
فقط لن
لن تكون
تكون راضيه
راضيه عن
عن ان
ان يقال
يقال ما
ما يجب
يجب فعله
فعله لديه
لديه ايضا
ايضا ان
ان نفهم
نفهم لماذا
لماذا يفعل
يفعل ذلك
اﻻنطوائيه بديهيه
انا واثق
واثق من
من ان
ان يمكن
يمكن من
من التعرف
التعرف علي
علي اي
اي شيء
اينتويتيفيس الانطواء
الانطواء يكون
يكون مثل
انها مثاليه
مثاليه 🌧⛈☔️
🌧⛈☔️ الطقس
الطقس اليوم
اليوم في
في ما
ما هو
هو عاده
عاده كاليفورنيا
كاليفورنيا 🌞
اينتويتيفيس الانطواء
الانطواء يكون
يكون مثل
يجدون صعوبه
صعوبه في
في انجاز
انجاز المهام
المهام بعد
بعد انهم
انهم الحصول
الحصول علي
علي تمرير
تمرير الجزء
الجزء الصعب
الصعب لماذا؟
لماذا؟ نحن
نحن بحاجه
بحاجه الي
الي تحد
تحد طوال
طوال الطريق
الي كل
كل شيء
شيء متصل؛
متصل؛ كل
كل شيء
شيء له
له سبب
سبب او
او معني
معني المصدر
انت تعرف
تعرف انك
انك عندما
عندما كنت
كنت لا
لا المتمرده
المتمرده فقط
فقط لا
لا احب
احب الشعور
الشعور كما
كما لو
لو كنت
كنت يتم
يتم التحكم
التحكم فيها
الاوضاع غير
غير مريحه
مريحه اكثر
اكثر لكل
لكل مايرزبريغز
مايرزبريغز اكتب
اكتب 😁😓
انا احب
احب هذه
هذه الاشياء
الاشياء بريغز
بريغز مايرز
مايرز بصراحه
بصراحه اعتقد
اعتقد ان
ان استطيع
استطيع الحصول
الحصول علي
علي ارتفاع
ارتفاع الخروج
الخروج من
من هذا
هذا النظام
النظام الجديده
الجديده وجدت
وجدت لوضع
لوضع الناس
الناس في
في خانات
انا فعلا
فعلا بحاجه
بحاجه للحصول
للحصول علي
علي اكثر
اكثر تفاعلا
تفاعلا في
في هذا
هذا الحساب
الحساب لا
لا سيما
سيما في
في ايام
ايام فيها
فيها الشخص
الشخص التنشئه
التنشئه الاجتماعيه
الاجتماعيه يبدو
يبدو مثل
مثل الكثير
معظم الاوقات
الاوقات لن
لن ادرك
ادرك ذلك
ذلك حان
حان الوقت
الوقت لتنظيف
لتنظيف حتي
حتي هناك
هناك ذهب
ذهب به
به بعيدا
بعيدا جدا
جدا انا
انا اتحدث
اتحدث نوبه
نوبه لا
لا المشتركه
المشتركه بين
راتيونالس تزوير
تزوير المشاعر
المشاعر منذ
منذ الابد
ما يسكن
يسكن وراء
وراء عيون
عيون كل
كل مايرزبريغز
مايرزبريغز اكتب
اكتب 👀😎
كيف يعالج
يعالج كل
كل نوع
نوع مايرزبريغز
مايرزبريغز العواطف
العواطف 😨😆
حصلنا علي
علي هذا
هذا يو
وانا التفت
التفت الي
الي نوع
نوع من
من اله
اله لرصد
لرصد الوقائع
الوقائع وطحن
وطحن الي
الي الاستنتاجات
الاستنتاجات تشارلز
تشارلز داروين
اينتويتيفيس الانطواء
الانطواء يكون
يكون مثل
شخص ما
ما يري
يري ويسمع
ويسمع انا
انا زقزقه
زقزقه لهجه
لهجه الخاص
الخاص بك؟
الاوفياء فقط
فقط للاشخاص
للاشخاص الذين
الذين يستحقون
يستحقون ولائهم
انت تعرف
تعرف انك
انك عندما
عندما تقول
تقول اعتدت
اعتدت ان
ان يكون
يكون مضحكا
الطابع التنافسي
التنافسي لكل
لكل مايرزبريغز
مايرزبريغز اكتب
اكتب 😤😁
الاوفياء فقط
فقط للاشخاص
للاشخاص الذين
الذين يستحقون
يستحقون ولائهم
احد الامثله
الامثله علي
علي كيفيه
كيفيه اﻻنطوائيه
اﻻنطوائيه الحصول
الحصول علي
علي القلق
القلق ل
مايرزبريغز اعجوبه
اعجوبه خارقه
خارقه احرف
احرف 😃😎
اينتروفيرتس بعد
بعد التنشئه
التنشئه الاجتماعيه
الاجتماعيه كثيرا
يمكن ان
ان يكون
يكون الانطواء
الانطواء محادثه
محادثه مع
مع اي
اي شيء
شخص ما
ما يري
يري ويسمع
ويسمع انا
انا زقزقه
زقزقه لهجه
لهجه الخاص
الخاص بك؟
يجري طفل
علي الاطلاق
الاطلاق انهم
انهم مؤرخه
مؤرخه تماما
تماما لكن
لكن ليس
ليس اقل
اقل من
من المرح
المرح هنا
هنا هو
هو الذي
الذي لديه
لديه الكثير
الكثير استمتع
اخذت مايرزبريغز
مايرزبريغز في
في فئه
فئه مره
مره اخري
اخري اليوم
اليوم لا
لا يزال
يقولون القلوب
القلوب في
في مصنوعه
مصنوعه من
من الذهب
الذهب ولكن
ولكن هذا
هذا امر
امر سخيف
سخيف كيندا
السبب في
في كل
كل فئه
فئه فرعيه
فرعيه مايرزبريغز
مايرزبريغز 😊👍
😊👍 فعلا
فعلا كاذبه
من الصعب
الصعب في
في بعض
بعض الاحيان
الاحيان ان
ان ندرك
ندرك مدي
مدي تاثير
تاثير ارائهم
ارائهم فعلا
فعلا لهم
لهم لا
لا احد
احد من
من موضوعيه
موضوعيه تماما
كيف المستقبل
المستقبل الموجهه
الموجهه لكل
لكل نوع
نوع من
من انواع
انواع مايرزبريغز
مايرزبريغز هو
هو في
في الواقع
الواقع 😁👉
لا تخبرني
تخبرني انه
انه يسير
يسير هنا
هنا للتحدث
للتحدث معي
معي رجاء
رجاء لا
لا تفعل
تفعل حماقه
الوظائف المعرفيه
انا الوحيد
الوحيد الذي
الذي يقوم
يقوم بحذف
بحذف الرسائل
الرسائل التي
التي كان
كان علي
علي وشك
وشك ارسال
ارسال الي
الي شخص
شخص ما
ما لانه
لانه يبدو
يبدو العاطفي
العاطفي جدا؟
شخص ما
ما يري
يري ويسمع
ويسمع انا
انا زقزقه
زقزقه لهجه
لهجه الخاص
الخاص بك؟
خارقه التي
التي انت
انت وفقا
وفقا الخاص
الخاص بك؟
بك؟ 😄💫
لم يكن
يكن من
من الممكن
الممكن الحقيقي
الحقيقي اكثر
اكثر من
من هذا
شباب تعويذه
تعويذه هنا
الكراهيه يفقد
يفقد حتي
حتي لا
لا تفاجا
تفاجا اذا
اذا عند
عند قراءه
قراءه احد
احد في
في ذلك
ذلك نفس
نفس اللعبه
اللعبه اسابيع
اسابيع في
في وقت
وقت لاحق
لاحق قال
قال انه
انه يتحول
يتحول الي
الي تدريب
تدريب المدربين
انتهي بي
بي الامر
الامر مع
مع نقاط
نقاط القوه
القوه والضعف
والضعف عن
عن طريق
انها الطرف
الطرف وقت
وقت معي
معي وانا
وانا نفسي
ما الذي
الذي يجعل
يجعل كل
كل مايرزبريغز
مايرزبريغز اكتب
اكتب 😡😤
😡😤 غاضب
كما في
في واقع
واقع الامر
الامر انها
انها اقل
اقل محرجا
محرجا للتعبير
للتعبير عن
عن مشاعرك
مشاعرك لصديقك
لصديقك مفكر
مفكر قضيه
قضيه سواء
سواء كنت
كنت تمتص
تمتص في
في ذلك
النشيد الوطني
الشعب الجديد
الجديد الم
الم لم
لم اكن
اكن اعرف
اعرف ماذا
ماذا اقول
بمعني الاخلاق
الاخلاق في
في كل
كل مايرزبريغز
مايرزبريغز اكتب
اكتب 😇👿
اينتويتيفيس الانطواء
الانطواء يكون
يكون مثل
احد الامثله
الامثله علي
علي كيفيه
كيفيه اﻻنطوائيه
اﻻنطوائيه الحصول
الحصول علي
علي القلق
القلق ل
ث تلك
تلك ادني
ادني انت
انت تعمل
تعمل انكم
انكم لطيفه
لطيفه ولكن
ولكن داخل
داخل عمق
عمق التفكير
التفكير ابت
ابت سحق
سحق تلك
تلك الاراء
خارقه التي
التي انت
انت وفقا
وفقا الخاص
الخاص بك؟
بك؟ 😄💫
اكتب الاشياء
الاشياء التي
التي تجعل
تجعل كل
كل مايرزبريغز
مايرزبريغز حزينه
حزينه وكيف
وكيف يمكن
يمكن التغلب
التغلب علي
علي 😰😖
انت تعرف
تعرف انك
انك عندما
عندما يقول
يقول شخص
شخص ما
ما تسال
تسال اسئله
اسئله كثيره
كثيره جدا
اكتب الاشياء
الاشياء التي
التي تجعل
تجعل كل
كل مايرزبريغز
مايرزبريغز حزينه
حزينه وكيف
وكيف يمكن
يمكن التغلب
التغلب علي
علي 😰😖
هنا غالبا
غالبا ما
ما تكون
تكون انطوائيه
انطوائيه مدروس
مدروس كراسي
كراسي المجلس
المجلس الكبير
الكبير استكشاف
استكشاف القضايا
القضايا بعنايه
بعنايه تساعد
تساعد الاخرين
الاخرين الكلام
الكلام علي
علي العقل
اﻻنطوائيه بديهيه
شيء ان
ان كل
كل نوع
نوع مايرزبريغز
مايرزبريغز تناضل
تناضل مع
مع 😖😁
اكتب الطابع
الطابع التنافسي
التنافسي لكل
لكل مايرزبريغز
مايرزبريغز 😤😁
تعرف انت
انت عند
عند الناس
الناس يقولون
يقولون لك
لك تحويل
تحويل كل
كل شيء
شيء الي
الي نقاش
اكتب الاشياء
الاشياء التي
التي تجعل
تجعل كل
كل مايرزبريغز
مايرزبريغز حزينه
حزينه وكيف
وكيف يمكن
يمكن التغلب
التغلب علي
علي 😰😖
انها مثاليه
مثاليه 🌧⛈☔️
🌧⛈☔️ الطقس
الطقس اليوم
اليوم في
في ما
ما هو
هو عاده
عاده كاليفورنيا
كاليفورنيا 🌞
اﻻنطوائيه بديهيه
يمكن ان
ان يكون
يكون الانطواء
الانطواء محادثه
محادثه مع
مع اي
اي شيء
في بعض
بعض الاحيان
الاحيان سوف
سوف اقول
اقول شيئا
شيئا ويكون
ويكون حقا
حقا صادقين
صادقين وقالت
وقالت انها
انها لا
لا تدرك
تدرك انها
انها يجري
يجري فظ
اينتويتيفيس الانطواء
الانطواء يكون
يكون مثل
هو الطاقه
الطاقه المتجه
المتجه حرفيا
حرفيا في
في زجاجه
زجاجه من
من المشروبات
المشروبات الكحوليه
اينتويتيفيس الانطواء
الانطواء يكون
يكون مثل
هناك العديد
العديد من
من الطرق
الطرق لاغواء
لاغواء امراه
امراه ولكن
ولكن اذا
اذا كان
كان 🍎
🍎 👁
👁 هذا
هذا هو
هو افضل
افضل استراتيجيه
اينتويتيفيس الانطواء
الانطواء يكون
يكون مثل
احد الامثله
الامثله علي
علي كيفيه
كيفيه اﻻنطوائيه
اﻻنطوائيه الحصول
الحصول علي
علي القلق
القلق ل
انها مثاليه
مثاليه 🌧⛈☔️
🌧⛈☔️ الطقس
الطقس اليوم
اليوم في
في ما
ما هو
هو عاده
عاده كاليفورنيا
كاليفورنيا 🌞
الطرق التي
التي يستجيب
يستجيب كل
كل نوع
نوع مايرزبريغز
مايرزبريغز للسلطه
للسلطه 😏👮
اﻻنطوائيه بديهيه
السلوك النمطيه
النمطيه قائلا
قائلا ان
ان الامور
الامور مدعاه
مدعاه للسخط
للسخط فقط
فقط للحصول
للحصول علي
علي رد
رد فعل
انواع كانماط
كانماط من
من الكتابه
الكتابه اليدويه
لي التحقق
التحقق من
من هذا
هذا المقطع
المقطع في
في 😏
✋🏽✋🏽✋🏽 ايقاف
ايقاف ذلك
ذلك 🚫🚫🚫
🚫🚫🚫 ح
شخص ما
ما يري
يري ويسمع
ويسمع انا
انا زقزقه
زقزقه لهجه
لهجه الخاص
الخاص بك؟
هاها نحن
نحن فرحان
فرحان في
في منطقتنا
منطقتنا واحد
واحد لا
لا يحصل
يحصل لدينا
لدينا النكات
النكات كما
كما نفعل
نفعل الحب
الحب 😎
😎 يجري
يجري 😍
اصدقاء عدد
عدد قليل
قليل جدا،
جدا، وانا
وانا احب
احب ذلك
ذلك ❤
وهذا السبب
السبب في
في وفي
وفي وكثيرا
وكثيرا ما
ما يبدو
يبدو لا
لا مبالي
مبالي وغالبا
وغالبا ما
ما لا
لا يحصلون
يحصلون علي
علي الكثير
الكثير القيام
القيام به
واو ميتا
ميتا علي
علي كالعاده
اﻻنطوائيه بديهيه
اينتويتيفيس الانطواء
الانطواء يكون
يكون مثل
معظم الناس
الناس يقولون
يقولون اشياء
اشياء الكيديه
الكيديه عند
عند الغضب
الغضب عندما
عندما الغضب
الغضب انه
انه يتوقف
يتوقف عن
عن مشاعرك
مشاعرك وتل
وتل فقط
فقط رعايه
وانا التفت
التفت الي
الي نوع
نوع من
من اله
اله لرصد
لرصد الوقائع
الوقائع وطحن
وطحن الي
الي الاستنتاجات
الاستنتاجات تشارلز
تشارلز داروين
انها مثاليه
مثاليه 🌧⛈☔️
🌧⛈☔️ الطقس
الطقس اليوم
اليوم في
في ما
ما هو
هو عاده
عاده كاليفورنيا
كاليفورنيا 🌞
المعلومات نموذجي
نموذجي يبتسم
يبتسم او
او يضحك
يضحك لانك
لانك لا
لا تعرف
تعرف ما
ما هي
هي العاطفه
العاطفه كنت
كنت من
من المفترض
المفترض ان
ان يكون
يكون الاعراب
الاعراب عن
عن علي
شخص ما
ما يري
يري ويسمع
ويسمع انا
انا زقزقه
زقزقه لهجه
لهجه الخاص
الخاص بك؟
خطط منطو
منطو في
في نهايه
نهايه الاسبوع
لم نحصل
نحصل علي
علي وحيدا
وحيدا للشعب
للشعب محادثه
محادثه جيده
جيده فقط
😱 كابوس
كابوس ل
ل الذين
الذين لديهم
لديهم صعوبه
صعوبه في
في الخروج
الخروج بما
بما تقوله
يشعر طريقه
طريقه كل
كل نوع
نوع مايرزبريغز
مايرزبريغز حول
حول قراءه
قراءه 👓📖📚
وهذا السبب
السبب في
في وفي
وفي وكثيرا
وكثيرا ما
ما يبدو
يبدو لا
لا مبالي
مبالي وغالبا
وغالبا ما
ما لا
لا يحصلون
يحصلون علي
علي الكثير
الكثير القيام
القيام به
انت تعرف
تعرف انك
انك عندما
عندما كنت
كنت تستخدم
تستخدم للناس
للناس تدعو
تدعو لك
لك انانيه
شيء عميق
عميق يمكننا
يمكننا ان
ان نتعلم
نتعلم من
من كل
كل مايرزبريغز
مايرزبريغز اكتب
اكتب 😆🌟
اوره شكرا
شكرا لك
لك 🙏🏼
التوقف عن
عن العمل
العمل لانها
وهذا السبب
السبب في
في وفي
وفي وكثيرا
وكثيرا ما
ما يبدو
يبدو لا
لا مبالي
مبالي وغالبا
وغالبا ما
ما لا
لا يحصلون
يحصلون علي
علي الكثير
الكثير القيام
القيام به
اﻻنطوائيه بديهيه
اﻻنطوائيه بديهيه
يمكن ان
ان يكون
يكون الانطواء
الانطواء محادثه
محادثه مع
مع اي
اي شيء
شيء ان
ان يجد
يجد كل
كل نوع
نوع مايرزبريغز
مايرزبريغز ممله
ممله 😁😫
من اي
اي وقت
وقت مضي
مضي يتساءل
يتساءل كيف
كيف المحجوزه
المحجوزه مدمره
مدمره جدا
جدا في
في المناقشه؟
المناقشه؟ هنا
هنا لماذا
واو كنت
كنت تبدو
تبدو وكانها
وكانها كنت
كنت الصيد
الصيد لي
الا اذا
اذا كنت
كنت نوعا
نوعا من
من شيطان
شيطان او
او بصراحه
بصراحه لا
لا استطيع
استطيع ان
ان اري
اري لك
لك الاساءه
الاساءه مع
مع الكلمات
الكلمات وهو
وهو العصي
العصي جميع
خارقه التي
التي انت
انت وفقا
وفقا الخاص
الخاص بك؟
بك؟ 😄💫
وهذا السبب
السبب في
في وفي
وفي وكثيرا
وكثيرا ما
ما يبدو
يبدو لا
لا مبالي
مبالي وغالبا
وغالبا ما
ما لا
لا يحصلون
يحصلون علي
علي الكثير
الكثير القيام
القيام به
اﻻنطوائيه بديهيه
مزيد من
من لكن
لكن ايا
ايا كان
كان اعتقد
اعتقد ان
ان مجرد
مجرد يو
يو ينبغي
ينبغي انتقاء
انتقاء استنادا
استنادا الي
الي من
من هو
هو الذهاب
الذهاب الي
الي الحصول
الحصول علي
علي يو
يو ابعد
ابعد في
في شركات
شركات لا
لا علي
علي المشاعر
المشاعر اتصل
اتصل بي
اينتويتيفيس الانطواء
الانطواء يكون
يكون مثل
اينتويتيفيس الانطواء
الانطواء يكون
يكون مثل
وهو نبذ
نبذ هذه
هذه هي
هي المشكله
غباء سيؤدي
سيؤدي لقطع
لقطع لك
لك دون
دون عناء
عناء حتي
حتي ان
ان اقول
اقول لكم
لكم لماذا
الطرف؟ ناا
ناا انا
انا جيده
الكثير لاستيائه
لاستيائه ادركت
ادركت فجاه
فجاه ان
ان كان
كان هناك
هناك لا
لا سبب
سبب منطقي
منطقي لمعارضه
لمعارضه العناق
العناق في
في الاماكن
الاماكن العامه
كيفيه التواصل
التواصل مع
مع شخص
شخص ما
ما لديه
لديه افضليات
واحده من
من هواياتي
هواياتي اغرب
اغرب يحاول
يحاول تخمين
تخمين انواع
انواع مايرزبريغز
مايرزبريغز الشعبيه
الشعبيه ولكن
ولكن اعتقد
اعتقد فقط
فقط الطبيعيه
المشبوهه او
او خائفه
خائفه سوف
سوف احيانا
احيانا جعل
جعل الاشياء
الاشياء اكبر
اكبر مما
مما عليه
عليه لانه
لانه يخلق
يخلق الخيال
الخيال لها
لها عدد
عدد لا
لا يحصي
يحصي من
الشاذ احيانا
اﻻنطوائيه بديهيه
رسومات منطو
منطو دي
اينتروفيرتس بعد
بعد التنشئه
التنشئه الاجتماعيه
الاجتماعيه كثيرا
لا اتحدث
اتحدث بطيئه
بطيئه بالنسبه
بالنسبه لي
لي مثل
مثل ابن
ابن ابله،
ابله، والحصول
والحصول علي
علي بالاهانه
بالاهانه عندما
عندما ارد
ارد بسخريه
هناك العديد
العديد من
من الطرق
الطرق لاغواء
لاغواء امراه
امراه ولكن
ولكن اذا
اذا كان
كان 🍎
🍎 👁
👁 هذا
هذا هو
هو افضل
افضل استراتيجيه
لماذا قد
قد يبدو
يبدو ان
ان لتكون
لتكون متكبر
متكبر مع
مع منظمه
منظمه الصحه
الصحه العالميه
العالميه انها
انها مكان
مكان الاستراحه
الاستراحه مع
الطرق التي
التي يعالج
يعالج كل
كل نوع
نوع مايرزبريغز
مايرزبريغز الغيره
الغيره 😤😁
الكراهيه يفقد
يفقد حتي
حتي لا
لا تفاجا
تفاجا اذا
اذا عند
عند قراءه
قراءه احد
احد في
في ذلك
ذلك نفس
نفس اللعبه
اللعبه اسابيع
اسابيع في
في وقت
وقت لاحق
لاحق قال
قال انه
انه يتحول
يتحول الي
الي تدريب
تدريب المدربين
ذلك صحيح
صحيح نموذجي
نموذجي عندما
عندما اشتعلت
اشتعلت في
في مناقشه
مناقشه مع
مع شخص
شخص كلوسيمينديد
شكرا علي
علي التلميح
اكتب الاشياء
الاشياء التي
التي تجعل
تجعل كل
كل مايرزبريغز
مايرزبريغز حزينه
حزينه وكيف
وكيف يمكن
يمكن التغلب
التغلب علي
علي 😰😖
روح الدعابه
الدعابه التي
التي 😂😏
😂😏 كل
كل مايرزبريغز
مايرزبريغز نوع
نوع يمتلك
اﻻنطوائيه بديهيه
شخص ما
ما يري
يري ويسمع
ويسمع انا
انا زقزقه
زقزقه لهجه
لهجه الخاص
الخاص بك؟
الطرق التي
التي يستجيب
يستجيب كل
كل نوع
نوع مايرزبريغز
مايرزبريغز للسلطه
