العمل الجاد
تستمع اكثر
اكثر مما
مما تتكلم،
تتكلم، ولا
ولا تبادر
تبادر بالكلام
بالكلام وعموما
وعموما كلامك
كلامك قليل
قليل جدا
مشاكل متوقعه
متوقعه قد
قد تقع
تقع بها
بها الشخصيات
تقصد ما
ما تقول،
تقول، وتقول
وتقول ما
ما تقصد
تقصد واضح
واضح الي
الي ابعد
ابعد الحدود
واقعي عملي
عملي ومنظم
ومنظم للغايه
ماهي الامور
الامور التي
التي تتعب
تتعب الشخصيات
انا اشهد
اشهد 💔😓
ماهي الامور
الامور التي
التي تتعب
تتعب الشخصيات
هالسفره ما
ما تفرغت
تفرغت حق
حق نفسي
نفسي ووحدتي
ووحدتي الجميله
بشكل اكبر
اكبر و
في الصف
اهل للمسئوليه
للمسئوليه من
من الطراز
الطراز الاول
تقيم الناس
الناس علي
علي نتائج
نتائج اعمالهم
اعمالهم وليس
وليس علي
علي مكانتهم
مكانتهم واشخاصهم
في الصف
هالسفره ما
ما تفرغت
تفرغت حق
حق نفسي
نفسي ووحدتي
ووحدتي الجميله
غالبا ما
ما تنظر
تنظر شخصيه
شخصيه الي
الي الاعتماد
الاعتماد علي
علي الاخرين
الاخرين كنقطه
كنقطه ضعف
مو صدق
صدق انا
انا اكثرر
اكثرر وحده
وحده احس
احس بتانيب
بتانيب الضمير
الضمير 💔
💔 لكل
لكل قاعده
قاعده شواذ
تقصد ما
ما تقول،
تقول، وتقول
وتقول ما
ما تقصد
تقصد واضح
واضح الي
الي ابعد
ابعد الحدود
عندك كلمه
كلمه شرف،
شرف، فاذا
فاذا قلت
قلت تلتزم
تلتزم بكلامك
بكلامك مهما
مهما حدث
حدث تفضل
تفضل ان
ان تنظم
تنظم الامور
الامور من
من حولك
حولك اهل
اهل للمسئوليه
للمسئوليه من
من الطراز
الطراز الاول
و اشقاء
يحاول ايقاف
ايقاف من
من افشاء
افشاء سره
مشاكل متوقعه
متوقعه قد
قد تقع
تقع بها
بها الشخصيات
كلمات دايم
دايم يرددها
تفضل ان
ان تنظم
تنظم الامور
الامور من
من حولك
حياتك منظمه
منظمه الي
الي ابعد
ابعد حد
حد هادئ
هادئ تركز
تركز بشده
بشده وبدقه
وبدقه في
في ع…
يبدا قتالا
الذكاء الاجتماعي
الاجتماعي هو
هو احد
احد اكثر
اكثر الذكائات
الذكائات جني
جني للمال
للمال وللاحترام
وللاحترام في
في مجتمعنا
هالسفره ما
ما تفرغت
تفرغت حق
حق نفسي
نفسي ووحدتي
ووحدتي الجميله
بشكل ثانوي
ثانوي و
شخصيه وفيه
وفيه لعملها
لعملها ملتزمه
ملتزمه به،
به، وتبغض
وتبغض الاشخاص
الاشخاص المتهاونين
المتهاونين في
في ادائه،
ادائه، تحب
تحب العمل
العمل لوحدها
لوحدها علي
علي ان
ان تعمل
تعمل في
في جماعه
جماعه …
عادل منصف،
منصف، محايد
محايد صارم
صارم حاسم
حاسم وجاد
وجاد جدا
جدا جدا
جدا المرح
المرح في
في حياتك
حياتك قليل
قليل جدا
النظام ثم
ثم النظام
النظام ثم
ثم النظام
غالبا ما
ما تنظر
تنظر شخصيه
شخصيه الي
الي الاعتماد
الاعتماد علي
علي الاخرين
الاخرين كنقطه
كنقطه ضعف
الذكاء الاجتماعي
الاجتماعي هو
هو احد
احد اكثر
اكثر الذكائات
الذكائات جني
جني للمال
للمال وللاحترام
وللاحترام في
في مجتمعنا
هالسفره ما
ما تفرغت
تفرغت حق
حق نفسي
نفسي ووحدتي
ووحدتي الجميله
الهادي هو
ايش يعني
ماهي الامور
الامور التي
التي تتعب
تتعب الشخصيات
ماهي الامور
الامور التي
التي تتعب
تتعب الشخصيات
شخصيات ذو
ذو مسوؤليه،
مسوؤليه، مثابره
مثابره جدا،
جدا، تقليديون،
تقليديون، ذو
ذو كفاءه
كفاءه عندما
عندما يتعلق
يتعلق الامر
الامر في
في الواجبات
الواجبات والالتزامات
يبدا قتالا
عاقل جدا
جدا ومتزن
ومتزن مستقل
مستقل في
في رايك
رايك ولا
ولا تقلد
تقلد الاخرين
من فضائل
الي بيعرفني
بيعرفني يقرا
يقرا ذا
ذا التحليل
التحليل لانه
لانه انا
انا بكل
بكل حرف
حرف يعنيني
يعنيني وانتوا
وانتوا قولوا
قولوا اذا
اذا تشوفون
تشوفون ذي
ذي فيني
فيني ولالا
ولالا ؟،
؟، …
هالسفره ما
ما تفرغت
تفرغت حق
حق نفسي
نفسي ووحدتي
ووحدتي الجميله
في حفله
واقعي عملي
عملي ومنظم
ومنظم للغايه
المواقف الغير
الغير متوقعه
و اصدقاء
