حسنا لذلك اريد
عندما يقول مندوب
يقول مندوب كنت
مندوب كنت علي
كنت علي اتصال
علي اتصال الوكاله
اتصال الوكاله الاكثر
الوكاله الاكثر تنظيما
الاكثر تنظيما ولقد
تنظيما ولقد عملوا
ولقد عملوا مع
اكتب القليل من
القليل من الاشياء
من الاشياء التي
الاشياء التي تجعل
التي تجعل كل
تجعل كل مايرزبريغز
كل مايرزبريغز 😊😀
مايرزبريغز 😊😀 سعيد
لماذا هو كل
هو كل مايرزبريغز
كل مايرزبريغز فرعيه
مايرزبريغز فرعيه 😊👍
فرعيه 😊👍 فعلا
😊👍 فعلا كاذبه
اكتب القليل من
القليل من الاشياء
من الاشياء التي
الاشياء التي تجعل
التي تجعل كل
تجعل كل مايرزبريغز
كل مايرزبريغز 😊😀
مايرزبريغز 😊😀 سعيد
ما الذي يجعل
الذي يجعل كل
يجعل كل مايرزبريغز
كل مايرزبريغز اكتب
مايرزبريغز اكتب 😡😤
اكتب 😡😤 غاضب
اكتب القليل من
القليل من الاشياء
من الاشياء التي
الاشياء التي تجعل
التي تجعل كل
تجعل كل مايرزبريغز
كل مايرزبريغز 😊😀
مايرزبريغز 😊😀 سعيد
شيء كل مايرزبريغز
كل مايرزبريغز نوع
مايرزبريغز نوع سوف
نوع سوف القاضي
سوف القاضي الاخرين
القاضي الاخرين ل
الاخرين ل 😒😑
السبب في كل
في كل فئه
كل فئه فرعيه
فئه فرعيه مايرزبريغز
فرعيه مايرزبريغز 😊👍
مايرزبريغز 😊👍 فعلا
😊👍 فعلا كاذبه
السبب في كل
في كل فئه
كل فئه فرعيه
فئه فرعيه مايرزبريغز
فرعيه مايرزبريغز 😊👍
مايرزبريغز 😊👍 فعلا
😊👍 فعلا كاذبه
ذلك صحيح اجد
صحيح اجد انه
اجد انه من
انه من الصعب
من الصعب جدا
الصعب جدا علي
جدا علي الاسترخاء
علي الاسترخاء و
الاسترخاء و لا
و لا تفعل
لا تفعل شيئا
عندما كنت يصرخون
كنت يصرخون لصديقك
يصرخون لصديقك من
لصديقك من عبر
من عبر مكتبه
عبر مكتبه وانظر
مكتبه وانظر منها
وانظر منها تجميد
منها تجميد مثل
تجميد مثل حيوان
مثل حيوان تصاد
انا كل للمغامره
كل للمغامره طالما
للمغامره طالما انه
طالما انه من
انه من المقرر
من المقرر مسبقا
المقرر مسبقا 😂
السبب في كل
في كل فئه
كل فئه فرعيه
فئه فرعيه مايرزبريغز
فرعيه مايرزبريغز 😊👍
مايرزبريغز 😊👍 فعلا
😊👍 فعلا كاذبه
لماذا يمكنك تسويه
يمكنك تسويه علي
تسويه علي يتولي
علي يتولي هذا
يتولي هذا البرنامج؟
هذا البرنامج؟ كما
البرنامج؟ كما يعني
كما يعني هذا
يعني هذا هيدليس
هذا هيدليس وانا
هيدليس وانا تقريبا
وانا تقريبا نفس
تقريبا نفس الشخص
هناك اي شخص
اي شخص او
شخص او الذي
او الذي يمكن
الذي يمكن ان
يمكن ان يفسر؟
اينتروفيرتس ما تريد
ما تريد معظم
تريد معظم من
معظم من الاخرين
رسومات منطو دي
انطوائي خربشات دي
اكتب القليل من
القليل من الاشياء
من الاشياء التي
الاشياء التي تجعل
التي تجعل كل
تجعل كل مايرزبريغز
كل مايرزبريغز 😊😀
مايرزبريغز 😊😀 سعيد
قصه حقيقيه كلما
حقيقيه كلما اقوم
كلما اقوم بتنظيم
اقوم بتنظيم او
بتنظيم او تنظيف
او تنظيف لدي
تنظيف لدي التظاهر
لدي التظاهر وانا
شيء كل مايرزبريغز
كل مايرزبريغز نوع
مايرزبريغز نوع سوف
نوع سوف القاضي
سوف القاضي الاخرين
القاضي الاخرين ل
الاخرين ل 😒😑
نورا سندس محظوظا
سندس محظوظا ليكون
محظوظا ليكون لهم
ليكون لهم ✨❤✨❤✨❤✨❤
مثل اجراء نسخ
اجراء نسخ احتياطي
نسخ احتياطي حوالي
احتياطي حوالي متر
حوالي متر لعنه
متر لعنه ✋🏽😒
شيء كل مايرزبريغز
كل مايرزبريغز نوع
مايرزبريغز نوع سوف
نوع سوف القاضي
سوف القاضي الاخرين
القاضي الاخرين ل
الاخرين ل 😒😑
طريقه واحده يمكن
واحده يمكن ان
يمكن ان تعرف
ان تعرف انت
تعرف انت المهم
انت المهم المحادثات
المهم المحادثات الهاتفيه
المحادثات الهاتفيه الاخيره
الهاتفيه الاخيره اكثر
الاخيره اكثر من
اكثر من دقيقه
يميل لان يكون
لان يكون متحفظا
يكون متحفظا وهادئا،
الذكاء الاجتماعي هو
الاجتماعي هو احد
هو احد اكثر
احد اكثر الذكائات
اكثر الذكائات جني
الذكائات جني للمال
جني للمال وللاحترام
للمال وللاحترام في
وللاحترام في مجتمعنا
مستحيل اني اساله
اني اساله عن
اساله عن شيء
عن شيء و
شيء و يقول
و يقول مادري
يقول مادري 👏🏻💓
في الصف 😂
الصدق بالنسبه لشخصيه
بالنسبه لشخصيه هو
لشخصيه هو اكثر
هو اكثر اهميه
اكثر اهميه بكثير
اهميه بكثير من
بكثير من الاعتبارات
من الاعتبارات العاطفيه
شخصيه تظلمها الكثير
تظلمها الكثير من
الكثير من الناس
من الناس لانهم
الناس لانهم لا
لانهم لا يعرفونهم
لا يعرفونهم حق
يعرفونهم حق المعرفه
مشاكل متوقعه قد
متوقعه قد تقع
قد تقع بها
تقع بها الشخصيات
شخصيه محافظ كتوم
محافظ كتوم وهادئ
كتوم وهادئ تستمع
وهادئ تستمع اكثر
تستمع اكثر مما
اكثر مما تتكلم،
مما تتكلم، ولا
تتكلم، ولا تبادر
ولا تبادر بالكلام
تبادر بالكلام وعموما
بالكلام وعموما كلامك
وعموما كلامك قليل
كلامك قليل جدا
مشاكل متوقعه قد
متوقعه قد تقع
قد تقع بها
تقع بها الشخصيات
تقصد ما تقول،
ما تقول، وتقول
تقول، وتقول ما
وتقول ما تقصد
ما تقصد واضح
تقصد واضح الي
واضح الي ابعد
الي ابعد الحدود
واقعي عملي ومنظم
عملي ومنظم للغايه
ماهي الامور التي
الامور التي تتعب
التي تتعب الشخصيات
انا اشهد 💔😓
ماهي الامور التي
الامور التي تتعب
التي تتعب الشخصيات
هالسفره ما تفرغت
ما تفرغت حق
تفرغت حق نفسي
حق نفسي ووحدتي
نفسي ووحدتي الجميله
بشكل اكبر و
اهل للمسئوليه من
للمسئوليه من الطراز
من الطراز الاول
تقيم الناس علي
الناس علي نتائج
علي نتائج اعمالهم
نتائج اعمالهم وليس
اعمالهم وليس علي
وليس علي مكانتهم
علي مكانتهم واشخاصهم
هالسفره ما تفرغت
ما تفرغت حق
تفرغت حق نفسي
حق نفسي ووحدتي
نفسي ووحدتي الجميله
غالبا ما تنظر
ما تنظر شخصيه
تنظر شخصيه الي
شخصيه الي الاعتماد
الي الاعتماد علي
الاعتماد علي الاخرين
علي الاخرين كنقطه
الاخرين كنقطه ضعف
مو صدق انا
صدق انا اكثرر
انا اكثرر وحده
اكثرر وحده احس
وحده احس بتانيب
احس بتانيب الضمير
بتانيب الضمير 💔
الضمير 💔 لكل
💔 لكل قاعده
لكل قاعده شواذ
تقصد ما تقول،
ما تقول، وتقول
تقول، وتقول ما
وتقول ما تقصد
ما تقصد واضح
تقصد واضح الي
واضح الي ابعد
الي ابعد الحدود
عندك كلمه شرف،
كلمه شرف، فاذا
شرف، فاذا قلت
فاذا قلت تلتزم
قلت تلتزم بكلامك
تلتزم بكلامك مهما
بكلامك مهما حدث
مهما حدث تفضل
حدث تفضل ان
تفضل ان تنظم
ان تنظم الامور
تنظم الامور من
الامور من حولك
من حولك اهل
حولك اهل للمسئوليه
اهل للمسئوليه من
للمسئوليه من الطراز
من الطراز الاول
يحاول ايقاف من
ايقاف من افشاء
من افشاء سره
مشاكل متوقعه قد
متوقعه قد تقع
قد تقع بها
تقع بها الشخصيات
كلمات دايم يرددها
تفضل ان تنظم
ان تنظم الامور
تنظم الامور من
الامور من حولك
حياتك منظمه الي
منظمه الي ابعد
الي ابعد حد
ابعد حد هادئ
حد هادئ تركز
هادئ تركز بشده
تركز بشده وبدقه
بشده وبدقه في
وبدقه في ع…
الذكاء الاجتماعي هو
الاجتماعي هو احد
هو احد اكثر
احد اكثر الذكائات
اكثر الذكائات جني
الذكائات جني للمال
جني للمال وللاحترام
للمال وللاحترام في
وللاحترام في مجتمعنا
هالسفره ما تفرغت
ما تفرغت حق
تفرغت حق نفسي
حق نفسي ووحدتي
نفسي ووحدتي الجميله
بشكل ثانوي و
شخصيه وفيه لعملها
وفيه لعملها ملتزمه
لعملها ملتزمه به،
ملتزمه به، وتبغض
به، وتبغض الاشخاص
وتبغض الاشخاص المتهاونين
الاشخاص المتهاونين في
المتهاونين في ادائه،
في ادائه، تحب
ادائه، تحب العمل
تحب العمل لوحدها
العمل لوحدها علي
لوحدها علي ان
علي ان تعمل
ان تعمل في
تعمل في جماعه
في جماعه …
عادل منصف، محايد
منصف، محايد صارم
محايد صارم حاسم
صارم حاسم وجاد
حاسم وجاد جدا
وجاد جدا جدا
جدا جدا المرح
جدا المرح في
المرح في حياتك
في حياتك قليل
حياتك قليل جدا
النظام ثم النظام
ثم النظام ثم
النظام ثم النظام
غالبا ما تنظر
ما تنظر شخصيه
تنظر شخصيه الي
شخصيه الي الاعتماد
الي الاعتماد علي
الاعتماد علي الاخرين
علي الاخرين كنقطه
الاخرين كنقطه ضعف
الذكاء الاجتماعي هو
الاجتماعي هو احد
هو احد اكثر
احد اكثر الذكائات
اكثر الذكائات جني
الذكائات جني للمال
جني للمال وللاحترام
للمال وللاحترام في
وللاحترام في مجتمعنا
هالسفره ما تفرغت
ما تفرغت حق
تفرغت حق نفسي
حق نفسي ووحدتي
نفسي ووحدتي الجميله
ماهي الامور التي
الامور التي تتعب
التي تتعب الشخصيات
ماهي الامور التي
الامور التي تتعب
التي تتعب الشخصيات
شخصيات ذو مسوؤليه،
ذو مسوؤليه، مثابره
مسوؤليه، مثابره جدا،
مثابره جدا، تقليديون،
جدا، تقليديون، ذو
تقليديون، ذو كفاءه
ذو كفاءه عندما
كفاءه عندما يتعلق
عندما يتعلق الامر
يتعلق الامر في
الامر في الواجبات
في الواجبات والالتزامات
عاقل جدا ومتزن
جدا ومتزن مستقل
ومتزن مستقل في
مستقل في رايك
في رايك ولا
رايك ولا تقلد
ولا تقلد الاخرين
الي بيعرفني يقرا
بيعرفني يقرا ذا
يقرا ذا التحليل
ذا التحليل لانه
التحليل لانه انا
لانه انا بكل
انا بكل حرف
بكل حرف يعنيني
حرف يعنيني وانتوا
يعنيني وانتوا قولوا
وانتوا قولوا اذا
قولوا اذا تشوفون
اذا تشوفون ذي
تشوفون ذي فيني
ذي فيني ولالا
فيني ولالا ؟،
ولالا ؟، …
هالسفره ما تفرغت
ما تفرغت حق
تفرغت حق نفسي
حق نفسي ووحدتي
نفسي ووحدتي الجميله
واقعي عملي ومنظم
عملي ومنظم للغايه
المواقف الغير متوقعه
