نظريه توني
فعلا كاذبه
لماذا هو
هو كل
كل مايرزبريغز
مايرزبريغز فرعيه
فرعيه 😊👍
😊👍 فعلا
فعلا كاذبه
اكتب القليل
القليل من
من الاشياء
الاشياء التي
التي تجعل
تجعل كل
كل مايرزبريغز
مايرزبريغز 😊😀
😊😀 سعيد
الطرق التي
التي يعالج
يعالج كل
كل نوع
نوع مايرزبريغز
مايرزبريغز الغيره
الغيره 😤😁
كيفيه التواصل
التواصل مع
مع شخص
شخص ما
ما لديه
لديه افضليات
مثل طائر
طائر الفينيق
الفينيق 🕊🔥
الطرق التي
التي يعالج
يعالج كل
كل نوع
نوع مايرزبريغز
مايرزبريغز الغيره
الغيره 😤😁
الطرق قليلا
قليلا ان
ان يظهر
يظهر كل
كل نوع
نوع مايرزبريغز
مايرزبريغز الموده
الموده 😘😉
كيف يعالج
يعالج كل
كل نوع
نوع مايرزبريغز
مايرزبريغز العواطف
العواطف 😨😆
تحدثت ساره
ساره في
في القيام
القيام بالاختبار
بالاختبار ب
ب 😎
الشخصيات اذا
اذا وجدوا
وجدوا اعصارا
الحس الاخلاقي
الاخلاقي لكل
لكل شخصيه
الحس الاخلاقي
الاخلاقي لكل
لكل شخصيه
الحس الاخلاقي
الاخلاقي لكل
لكل شخصيه
الذكاء الاجتماعي
الاجتماعي هو
هو احد
احد اكثر
اكثر الذكائات
الذكائات جني
جني للمال
للمال وللاحترام
وللاحترام في
في مجتمعنا
ساكون حنونه
حنونه معهم
معهم بس
بس طبعا
طبعا حيكون
حيكون في
في نظام
نظام في
في البيت
البيت و
و المذاكره
المذاكره و
و تحمل
تحمل المسؤوليه
المسؤوليه المناسبه
المناسبه لسنهم
انا مرررره
مرررره احب
احب انوع
تشوفون اني
اني نرجسيه؟
نرجسيه؟ بغض
بغض النظر
النظر عن
عن هالترتيب
هالترتيب 😿
الحس الاخلاقي
الاخلاقي لكل
لكل شخصيه
الحس الاخلاقي
الاخلاقي لكل
لكل شخصيه
رده فعل
فعل حيال
حيال الذي
الذي خرج
خرج من
من غرفته
غرفته اخيرا
تعابير وجه
وجه ؛
بشكل اكبر
اكبر و
الحس الاخلاقي
الاخلاقي لكل
لكل شخصيه
تعابير وجه
وجه ؛
الحس الاخلاقي
الاخلاقي لكل
لكل شخصيه
نظره خائبه
خائبه ل
ل 💜
العقلانيون ليسوا
ليسوا قساه
قساه ربما
ربما تجدهم
تجدهم لؤماء
لؤماء في
في البدايه
البدايه لكن
لكن لو
لو اطلقت
اطلقت العنان
العنان لتفكيرك
لتفكيرك الداخلي
الداخلي لكي
لكي تحلل
تحلل كلامهم
كلامهم العقلاني
العقلاني هذا
هذا سيجعلك…
الجفاف العاطفي
ما هي
هي الامور
الامور التي
التي تتعب
تتعب الشخصيات
الحس الاخلاقي
الاخلاقي لكل
لكل شخصيه
تعابير وجه
وجه ؛
بشكل ثانوي
ثانوي و
الحس الاخلاقي
الاخلاقي لكل
لكل شخصيه
الذكاء الاجتماعي
الاجتماعي هو
هو احد
احد اكثر
اكثر الذكائات
الذكائات جني
جني للمال
للمال وللاحترام
وللاحترام في
في مجتمعنا
ما هي
هي الامور
الامور التي
التي تتعب
تتعب الشخصيات
و اصدقاء
من جددددد
الحس الاخلاقي
الاخلاقي لكل
لكل شخصيه
ساكون حنونه
حنونه معهم
معهم بس
بس طبعا
طبعا حيكون
حيكون في
في نظام
نظام في
في البيت
البيت و
و المذاكره
المذاكره و
و تحمل
تحمل المسؤوليه
المسؤوليه المناسبه
المناسبه لسنهم
كيف تتعامل
تتعامل كل
كل شخصيه
شخصيه مع
مع الشعور
الشعور بالذنب
كيف تتعامل
تتعامل كل
كل شخصيه
شخصيه مع
مع الشعور
الشعور بالذنب
الذكاء الاجتماعي
الاجتماعي هو
هو احد
احد اكثر
اكثر الذكائات
الذكائات جني
جني للمال
للمال وللاحترام
وللاحترام في
في مجتمعنا
دافئه و
و لطيفهوديه
لطيفهوديه حقيقيه
عرفته ☺️💜
تعابير وجه
وجه ؛
تعابير وجه
وجه ؛
الحس الاخلاقي
الاخلاقي لكل
لكل شخصيه
الحس الاخلاقي
الاخلاقي لكل
لكل شخصيه
الحس الاخلاقي
الاخلاقي لكل
لكل شخصيه
تعابير وجه
وجه ؛
الحس الاخلاقي
الاخلاقي لكل
لكل شخصيه
